name,latitude,longitude,price,ratio
Hongkong,2228552,11415769,29440,49.4
Taipei,2504776,12153185,10907,27.7
Beijing,399075,11639723,14457,46.8
Shanghai ,3122222,12145806,13562,43.3
Wuhan,3058333,11426667,3886,20.5
Chengdu ,3066667,10406667,3138,14.6
Nanjing,3206167,11877778,6492,31.1
Shenzhen,2254554,1140683,13863,45.5
Tokyo,356895,13969171,10870,13.7
Osaka,3469374,13550218,4740,9
Nagoya,3518147,13690641,7362,10.8
Seoul,37566,1269784,12600,20.1
Busan,3510278,12904028,5483,9.6
Singapore,128967,10385007,17381,22.3
Ho Chi Minh City,1082302,10662965,2418,24.3
Bangkok,1375398,10050144,5126,24.7
Kuala Lumpur,31412,10168653,2806,10.7
Mumbai,1907283,7288261,7077,42.4
Moscow,5575222,3761556,5125,18.5
Saint Petersburg,5993863,3031413,2426,14.5
Paris,4885341,23488,12126,20.5
Nante,4721725,-155336,4263,9.3
Bordeaux,4484044,-5805,5753,13.6
London,5150853,-12574,16365,22
Birmingham,5248142,-189983,4430,8.2
Berlin,5252437,1341053,6386,10.6
Munich,4813743,1157549,11423,16.6
Amsterdam,5237403,488969,8386,12.5
Rotterdam,519225,447917,4134,6.7
Eindhoven,5144083,547778,3343,4.9
Barcelona,4138879,215899,5118,13.3
Madrid,404165,-370256,5711,12.1
Lisbon,3871667,-913333,4723,17.6
Rome,4189193,1251133,7820,17.7
Milan,4546427,918951,8310,17.7
Stockholm,5933258,180649,9937,14.4
Helsinki,6016952,2493545,7978,11.6
Budapest,4749801,1903991,3144,14.7
Zurich,4736667,855,13251,8.8
Brussels,5085045,434878,3511,6.4
New York,4071427,-7400597,13762,10.5
San Francisco,3777493,-12241942,12687,8.4
Los Angeles,-3746973,-7235366,7486,7.6
Chicago,4185003,-8765005,3824,3.4
Seattle,4760621,-12233207,7180,5.6
Washington,3889511,-7703637,6171,4.29
Montreal,4550884,-7358781,4039,7
Toronto,4370011,-794163,7957,13.7
Quebec,4681228,-7121454,1995,3.5
Ottawa,4541117,-7569812,3512,4.5
Sydney,461351,-601831,9949,11.2
Melbourne,-37814,14496332,6581,9.6
Wellington,-4128664,17477557,4081,6.1
